"","Uniprot.ID","TC.Exp1.20min..log2.","TC.Exp2.20min..log2.","TC.Exp3.20min..log2.","LY.Exp1.Insulin.Starved..log2.","LY.Exp2.Insulin.Starved..log2.","LY.Exp3.Insulin.Starved..log2.","MK.Exp1.Insulin.Starved..log2.","MK.Exp2.Insulin.Starved..log2.","MK.Exp3.Insulin.Starved..log2."
"14689","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD9;A2AAD6",NA,"-0.16",NA,NA,NA,NA," -0.32","  0.09",NA
"14690","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD9;A2AAD6"," 0.27",NA,NA,NA,NA,NA,NA,NA,"-0.31"
"14691","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD9;A2AAD6"," 1.49",NA,NA,NA,NA,NA,NA,NA,NA
"14692","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD9;A2AAD6",NA,NA,NA,NA," 0.69",NA,NA,NA,NA
"14693","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD9",NA,"-0.42",NA,NA,NA,NA,NA,NA,NA
"14694","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD9",NA,"-0.42",NA,NA,NA,NA,NA,NA,NA
"14698","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0","-0.28",NA,NA,NA," 0.05",NA,NA,NA,NA
"14699","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0"," 0.40",NA," 0.08","-0.27",NA,NA," -0.11",NA,NA
"14700","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0",NA,NA,NA,"-0.35",NA,NA,NA,NA,NA
"14701","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0"," 0.40",NA," 0.08","-0.40",NA,NA,"  0.17",NA,NA
"14702","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0",NA,NA,NA,"-0.13",NA,NA,NA,NA,NA
"14703","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0","-0.13",NA,NA,"-0.17","-0.02","-0.32"," -0.26","  0.13",NA
"14704","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0","-0.13"," 0.11",NA,NA,NA,NA," -0.07",NA," 0.14"
"14706","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AB97;A2AAD0",NA,NA," 0.93",NA,NA,NA,NA,"  0.74",NA
"14707","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AB97;A2AAD0",NA,NA,NA,NA,NA,NA,NA,"  0.64",NA
"14708","A2AAE1-3;A2AAE1;A2AAE1-2;A2AB97",NA,NA,NA,NA," 1.10",NA,NA,NA,NA
"14709","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AB97;A2AAD5;Q8BU84;A2AAD0"," 0.17",NA,NA,NA,NA,NA,NA,NA,NA
"14710","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AB97;A2AAD5;Q8BU84;A2AAD0",NA,NA,NA,NA,NA,"-0.05",NA,NA,NA
"14713","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AB97;A2AAD0","-0.04",NA,NA,NA,NA,NA,NA,NA,NA
"14714","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0",NA,NA,"-0.08"," 0.07"," 0.04",NA,NA,NA,NA
"14715","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0",NA,NA,NA," 0.07"," 0.04",NA,NA,NA,NA
"14716","P48774",NA,NA," 0.00",NA,NA,NA,NA,NA,NA
"14719","Q6GTX2;Q62356"," 1.20",NA,NA,NA,"-0.71",NA,NA," -0.72",NA
"14720","Q6GTX2;Q62356"," 1.47"," 0.34",NA,NA,NA,NA,NA," -0.72",NA
"14721","P09528",NA,NA," 0.86","-1.36",NA,NA," -0.11",NA,NA
"14723","Q9DBE9;B1ARK1","-0.21",NA,NA,"-0.28"," 0.16"," 0.32","  0.30",NA,NA
"14724","Q9DBE9;B1ARK1","-0.56",NA,"-0.64"," 0.17"," 0.35"," 0.32","  0.35","  0.29",NA
"14725","Q9DBE9;B1ARK1","-0.57",NA,"-0.64"," 0.17"," 0.35"," 0.32","  0.35","  0.29",NA
"14727","Q9DBE9;B1ARK1","-0.80"," 0.11","-0.77",NA,NA,NA,NA," -0.63",NA
"14728","Q9DBC3","-0.35"," 1.50"," 1.67"," 1.35"," 0.13"," 0.54"," -0.46","  0.03","-0.04"
"14729","Q9DBC3"," 1.01","-0.47"," 1.80"," 1.35"," 1.49"," 0.23","  1.42","  1.64"," 1.79"
"14730","Q9DBC3"," 0.60"," 1.50"," 1.87"," 1.37"," 1.54","-0.14","  1.93","  1.99",NA
"14732","Q9DBC3;Q6A027",NA," 0.99",NA," 0.71",NA,NA,NA,NA,NA
"14733","Q9DBC3;Q6A027","-0.47","-0.34","-0.89"," 0.04","-0.02"," 0.20"," -0.11","  0.19",NA
"14734","Q9DBC3;Q6A027","-0.21"," 0.00","-0.19","-0.12","-0.29"," 0.20"," -0.14","  0.02",NA
"14735","Q9DBC3;Q6A027","-0.06","-0.14",NA,NA,NA," 0.20"," -0.14","  0.02",NA
"14738","Q9DBC3","-0.54"," 1.45"," 2.48"," 2.37"," 2.52",NA,"  1.93","  1.99"," 1.63"
"14739","Q9DBC3;Q6A027","-0.77","-0.63","-0.34","-0.42","-0.45",NA," -0.33","  0.25",NA
"14740","Q0P6B2;Q3TIS5;Q3TUE1;Q3UUU2;Q91WJ8-2;Q91WJ8;Q91WJ8-1","-0.16","-0.08"," 0.34","-0.26","-0.06",NA," -0.28"," -0.21"," 0.00"
"14741","Q3U0V1;Q9R1J3","-0.32","-0.28","-0.08",NA," 0.21"," 0.44","  0.16","  0.18","-0.20"
"14742","Q3U0V1;Q9R1J3"," 0.19",NA,NA,NA,NA,NA,NA,NA,NA
"14745","Q3U0V1;Q9R1J3","-0.28","-0.10",NA,"-0.15"," 0.05",NA,"  0.23","  0.16"," 0.08"
"14746","A2AJ72;Q3TIX6;Q3ULP9;A2AJ75",NA,NA,NA," 0.89",NA,NA,NA,NA,NA
"14750","A2AJ72;Q3TIX6;Q3ULP9;A2AJ75",NA," 0.24"," 0.07",NA," 0.63"," 0.63","  0.78","  0.76",NA
"14751","P46061;Q3ULJ9;Q3UZD8;Q6NZB5;Q6ZPH4;Q7TMW1;Q8C2E3;Q91YS2;Q9CW20"," 3.19"," 7.27",NA,NA," 2.39",NA,NA,"  3.36",NA
"14752","P46061;Q3ULJ9;Q3UZD8;Q6NZB5;Q6ZPH4;Q7TMW1;Q8C2E3;Q91YS2;Q9CW20",NA,NA,NA,NA,NA,NA,NA,"  3.47",NA
"14756","Q9DB70;A2BEA3",NA,NA,NA,NA,NA," 0.09",NA,NA,NA
