Uniprot ID,TC Exp1 20min (log2),TC Exp2 20min (log2),TC Exp3 20min (log2),LY Exp1 Insulin/Starved (log2),LY Exp2 Insulin/Starved (log2),LY Exp3 Insulin/Starved (log2),MK Exp1 Insulin/Starved (log2),MK Exp2 Insulin/Starved (log2),MK Exp3 Insulin/Starved (log2)
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,1.02,NaN,NaN,NaN,0.46,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,2.84,NaN,NaN,NaN,NaN,1.84,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,0.60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,4.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,NaN,NaN,NaN,NaN,2.51,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,-0.68,NaN,-0.24,-0.13,NaN,NaN,-0.35,0.12,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,-0.25,NaN,-0.10,-0.13,-0.17,-0.18,-1.31,0.12,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,0.11,0.40,0.46,0.19,0.50,-0.47,0.12,NaN,0.11
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,NaN,NaN,NaN,NaN,0.46,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,0.02,0.08,0.48,NaN,0.02,-0.13,-0.52,-0.32,-0.11
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,1.90,2.01,1.75,NaN,2.02,2.14,2.25,3.69,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,0.29,0.24,0.43,NaN,0.10,0.07,-0.07,-0.35,0.22
Q99MI1-1;Q99MI1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99MI1-1;Q99MI1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99MI1-1;Q99MI1,NaN,NaN,NaN,NaN,NaN,0.33,NaN,NaN,NaN
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2,NaN,0.27,NaN,NaN,NaN,NaN,-0.24,NaN,NaN
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2,-0.37,-0.66,NaN,-0.37,NaN,NaN,-0.23,NaN,NaN
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2,-0.48,-0.17,0.20,-0.54,-1.14,-1.23,-0.90,-0.13,-0.29
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2,0.55,0.36,0.20,-0.01,0.46,0.18,0.26,0.12,0.09
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2;Q99MI1-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2;Q99MI1-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2;Q99MI1-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2;Q99MI1-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2,0.11,-0.18,0.14,NaN,NaN,NaN,0.11,0.34,NaN
Q99MI1-1;Q99MI1;Q99MI1-3;Q99MI1-2,0.23,-0.04,0.06,-0.13,NaN,NaN,NaN,NaN,NaN
